Provincias,Año,Mes,Turistas_totales
Alicante/Alacant,2008,10,112266.0
Alicante/Alacant,2008,11,87269.0
Alicante/Alacant,2008,12,65918.0
Alicante/Alacant,2009,1,62774.0
Alicante/Alacant,2009,2,67545.0
Alicante/Alacant,2009,3,90951.0
Alicante/Alacant,2009,4,97919.0
Alicante/Alacant,2009,5,112342.0
Alicante/Alacant,2009,6,104850.0
Alicante/Alacant,2009,7,123296.0
Alicante/Alacant,2009,8,122388.0
Alicante/Alacant,2009,9,122497.0
Alicante/Alacant,2009,10,118595.0
Alicante/Alacant,2009,11,81638.0
Alicante/Alacant,2009,12,65038.0
Alicante/Alacant,2010,1,65651.0
Alicante/Alacant,2010,2,66461.0
Alicante/Alacant,2010,3,87994.0
Alicante/Alacant,2010,4,112664.0
Alicante/Alacant,2010,5,124497.0
Alicante/Alacant,2010,6,124016.0
Alicante/Alacant,2010,7,126111.0
Alicante/Alacant,2010,8,125089.0
Alicante/Alacant,2010,9,124567.0
Alicante/Alacant,2010,10,119018.0
Alicante/Alacant,2010,11,76650.0
Alicante/Alacant,2010,12,56355.0
Alicante/Alacant,2011,1,55378.0
Alicante/Alacant,2011,2,61065.0
Alicante/Alacant,2011,3,88913.0
Alicante/Alacant,2011,4,120635.0
Alicante/Alacant,2011,5,132990.0
Alicante/Alacant,2011,6,128672.0
Alicante/Alacant,2011,7,137659.0
Alicante/Alacant,2011,8,127042.0
Alicante/Alacant,2011,9,145128.0
Alicante/Alacant,2011,10,142107.0
Alicante/Alacant,2011,11,84804.0
Alicante/Alacant,2011,12,60637.0
Alicante/Alacant,2012,1,53855.0
Alicante/Alacant,2012,2,63389.0
Alicante/Alacant,2012,3,96185.0
Alicante/Alacant,2012,4,105577.0
Alicante/Alacant,2012,5,129002.0
Alicante/Alacant,2012,6,141508.0
Alicante/Alacant,2012,7,141004.0
Alicante/Alacant,2012,8,148595.0
Alicante/Alacant,2012,9,146229.0
Alicante/Alacant,2012,10,132820.0
Alicante/Alacant,2012,11,90422.0
Alicante/Alacant,2012,12,65634.0
Alicante/Alacant,2013,1,57977.0
Alicante/Alacant,2013,2,60245.0
Alicante/Alacant,2013,3,92196.0
Alicante/Alacant,2013,4,133012.0
Alicante/Alacant,2013,5,157389.0
Alicante/Alacant,2013,6,156015.0
Alicante/Alacant,2013,7,158253.0
Alicante/Alacant,2013,8,164488.0
Alicante/Alacant,2013,9,162274.0
Alicante/Alacant,2013,10,144365.0
Alicante/Alacant,2013,11,103036.0
Alicante/Alacant,2013,12,69443.0
Alicante/Alacant,2014,1,65967.0
Alicante/Alacant,2014,2,75971.0
Alicante/Alacant,2014,3,101127.0
Alicante/Alacant,2014,4,137152.0
Alicante/Alacant,2014,5,157846.0
Alicante/Alacant,2014,6,155542.0
Alicante/Alacant,2014,7,151359.0
Alicante/Alacant,2014,8,158170.0
Alicante/Alacant,2014,9,167826.0
Alicante/Alacant,2014,10,157061.0
Alicante/Alacant,2014,11,98429.0
Alicante/Alacant,2014,12,70317.0
Alicante/Alacant,2015,1,63465.0
Alicante/Alacant,2015,2,67502.0
Alicante/Alacant,2015,3,103675.0
