ID,Total_nacional,Comunidades_ciudades_autonomas,Provincias,Tipo_turista,Turistas_totales,Año,Mes,Temporada,Outliers_zscore
1664841328335566913,No aplica,Andalucía,Almería,Viajero,15453.0,2010,6,Verano,False
-5402304705287920973,No aplica,Andalucía,Almería,Viajero,16419.0,2010,5,Primavera,False
-4933738370649082152,No aplica,Andalucía,Almería,Viajero,11483.0,2010,4,Primavera,False
7592307358773513297,No aplica,Andalucía,Almería,Viajero,11235.0,2010,3,Primavera,False
5567088772003120541,No aplica,Andalucía,Almería,Viajero,8711.0,2010,2,Invierno,False
93594246450084992,No aplica,Andalucía,Almería,Viajero,6708.0,2010,1,Invierno,False
-5541480118182140407,No aplica,Andalucía,Almería,Viajero,5927.0,2009,12,Invierno,False
-225022104547102423,No aplica,Andalucía,Almería,Viajero,8195.0,2009,11,Otoño,False
4436687884094996619,No aplica,Andalucía,Almería,Viajero,16857.0,2009,10,Otoño,False
6639419063478007403,No aplica,Andalucía,Almería,Viajero,22964.0,2009,9,Otoño,False
-3042132909856323328,No aplica,Andalucía,Almería,Viajero,19841.0,2009,8,Verano,False
-9211602742651367587,No aplica,Andalucía,Almería,Viajero,25878.0,2009,7,Verano,False
2980172233646537178,No aplica,Andalucía,Almería,Viajero,17614.0,2009,6,Verano,False
7667647433733456133,No aplica,Andalucía,Almería,Viajero,17689.0,2009,5,Primavera,False
6299356195797112068,No aplica,Andalucía,Almería,Viajero,13880.0,2009,4,Primavera,False
-3907223297346082908,No aplica,Andalucía,Almería,Viajero,10628.0,2009,3,Primavera,False
-5945903414687998299,No aplica,Andalucía,Almería,Viajero,8410.0,2009,2,Invierno,False
-3707997827840647074,No aplica,Andalucía,Almería,Viajero,7702.0,2009,1,Invierno,False
-8045636156294497724,No aplica,Andalucía,Almería,Viajero,6629.0,2008,12,Invierno,False
6026462039085555368,No aplica,Andalucía,Almería,Viajero,11303.0,2008,11,Otoño,False
2844954157966402599,No aplica,Andalucía,Almería,Viajero,19944.0,2008,10,Otoño,False
-7095844120925727022,No aplica,Andalucía,Almería,Viajero,28832.0,2008,9,Otoño,False
3552891354249547097,No aplica,Andalucía,Almería,Viajero,21875.0,2008,8,Verano,False
-2145283368677820675,No aplica,Andalucía,Almería,Viajero,24998.0,2008,7,Verano,False
1990317025075209577,No aplica,Andalucía,Almería,Viajero,22451.0,2008,6,Verano,False
3060065166609414707,No aplica,Andalucía,Almería,Viajero,25167.0,2008,5,Primavera,False
-44227798751248098,No aplica,Andalucía,Almería,Viajero,24586.0,2008,4,Primavera,False
-2462513994018881670,No aplica,Andalucía,Almería,Viajero,13984.0,2008,3,Primavera,False
2740597074317060873,No aplica,Andalucía,Almería,Viajero,10424.0,2008,2,Invierno,False
-3690151602406297290,No aplica,Andalucía,Almería,Viajero,8723.0,2008,1,Invierno,False
-4525115770750852783,No aplica,Andalucía,Almería,Viajero,8156.0,2007,12,Invierno,False
3914479098489932286,No aplica,Andalucía,Almería,Viajero,12874.0,2007,11,Otoño,False
-5439933393022112603,No aplica,Andalucía,Almería,Viajero,22558.0,2007,10,Otoño,False
-4721881889056207023,No aplica,Andalucía,Almería,Viajero,27740.0,2007,9,Otoño,False
8763035995222020722,No aplica,Andalucía,Almería,Viajero,28775.0,2007,8,Verano,False
4105124650214257831,No aplica,Andalucía,Almería,Viajero,27297.0,2007,7,Verano,False
-8557004317365577086,No aplica,Andalucía,Almería,Viajero,25276.0,2007,6,Verano,False
8557609032375929445,No aplica,Andalucía,Almería,Viajero,28822.0,2007,5,Primavera,False
-2613475148631702569,No aplica,Andalucía,Almería,Viajero,22403.0,2007,4,Primavera,False
-4464081641770975543,No aplica,Andalucía,Almería,Viajero,15815.0,2007,3,Primavera,False
1312562917622935816,No aplica,Andalucía,Almería,Viajero,9828.0,2007,2,Invierno,False
7384291543719000482,No aplica,Andalucía,Almería,Viajero,9358.0,2007,1,Invierno,False
-5193616549558022534,No aplica,Andalucía,Almería,Viajero,8671.0,2006,12,Invierno,False
-4440278515097005478,No aplica,Andalucía,Almería,Viajero,11911.0,2006,11,Otoño,False
7062828340510569811,No aplica,Andalucía,Almería,Viajero,20089.0,2006,10,Otoño,False
-4308844163765756872,No aplica,Andalucía,Almería,Viajero,22693.0,2006,9,Otoño,False
-2743131489737991622,No aplica,Andalucía,Almería,Viajero,32272.0,2006,8,Verano,False
-6909257332748067692,No aplica,Andalucía,Almería,Viajero,30678.0,2006,7,Verano,False
2409924481823429226,No aplica,Andalucía,Almería,Viajero,24713.0,2006,6,Verano,False
7187632761114907295,No aplica,Andalucía,Almería,Viajero,29981.0,2006,5,Primavera,False
1040738485277094952,No aplica,Andalucía,Almería,Viajero,19375.0,2006,4,Primavera,False
-5097740651129793717,No aplica,Andalucía,Almería,Viajero,17245.0,2006,3,Primavera,False
3106498995749022766,No aplica,Andalucía,Almería,Viajero,13720.0,2006,2,Invierno,False
8430249424729686359,No aplica,Andalucía,Almería,Viajero,15009.0,2006,1,Invierno,False
-8420457670177197270,No aplica,Andalucía,Almería,Viajero,9188.0,2005,12,Invierno,False
4336414737574310498,No aplica,Andalucía,Almería,Viajero,14456.0,2005,11,Otoño,False
-3828057616241659621,No aplica,Andalucía,Almería,Viajero,25911.0,2005,10,Otoño,False
7045766879954189306,No aplica,Andalucía,Almería,Viajero,26686.0,2005,9,Otoño,False
-2461607279149743621,No aplica,Andalucía,Almería,Viajero,26020.0,2005,8,Verano,False
7179167729191186731,No aplica,Andalucía,Almería,Viajero,29055.0,2005,7,Verano,False
7604394791135711744,No aplica,Andalucía,Almería,Viajero,26682.0,2005,6,Verano,False
7684053423155938039,No aplica,Andalucía,Almería,Viajero,27443.0,2005,5,Primavera,False
3332454422419461560,No aplica,Andalucía,Almería,Viajero,16606.0,2005,4,Primavera,False
-4341494083131223223,No aplica,Andalucía,Almería,Viajero,18421.0,2005,3,Primavera,False
7433834121462865278,No aplica,Andalucía,Almería,Viajero,13668.0,2005,2,Invierno,False
-8025627359767164238,No aplica,Andalucía,Almería,Viajero,13062.0,2005,1,Invierno,False
4668750140773394323,No aplica,Andalucía,Almería,Viajero,9974.0,2004,12,Invierno,False
-1076045168179046455,No aplica,Andalucía,Almería,Viajero,11454.0,2004,11,Otoño,False
-4810801218651920942,No aplica,Andalucía,Almería,Viajero,24335.0,2004,10,Otoño,False
-5326744672534786565,No aplica,Andalucía,Almería,Viajero,27613.0,2004,9,Otoño,False
-1000709025904152023,No aplica,Andalucía,Almería,Viajero,29243.0,2004,8,Verano,False
8225883858017997018,No aplica,Andalucía,Almería,Viajero,24080.0,2004,7,Verano,False
279453216616325168,No aplica,Andalucía,Almería,Viajero,26123.0,2004,6,Verano,False
5009833656706824351,No aplica,Andalucía,Almería,Viajero,27861.0,2004,5,Primavera,False
5133059286251840979,No aplica,Andalucía,Almería,Viajero,21912.0,2004,4,Primavera,False
-17787474290558660,No aplica,Andalucía,Almería,Viajero,21291.0,2004,3,Primavera,False
-4295643056690317553,No aplica,Andalucía,Almería,Viajero,13148.0,2004,2,Invierno,False
4346789354427510309,No aplica,Andalucía,Almería,Viajero,10206.0,2004,1,Invierno,False
20494259336435619,No aplica,Andalucía,Almería,Viajero,10101.0,2003,12,Invierno,False
-5230304590570746971,No aplica,Andalucía,Almería,Viajero,12030.0,2003,11,Otoño,False
1703527536646377074,No aplica,Andalucía,Almería,Viajero,22656.0,2003,10,Otoño,False
3940622845522128231,No aplica,Andalucía,Almería,Viajero,27468.0,2003,9,Otoño,False
-8973155808200555171,No aplica,Andalucía,Almería,Viajero,28421.0,2003,8,Verano,False
2984676417451987630,No aplica,Andalucía,Almería,Viajero,25245.0,2003,7,Verano,False
-3640707425651452564,No aplica,Andalucía,Almería,Viajero,26024.0,2003,6,Verano,False
6154605978147327536,No aplica,Andalucía,Almería,Viajero,27371.0,2003,5,Primavera,False
-7075698912847879638,No aplica,Andalucía,Almería,Viajero,18887.0,2003,4,Primavera,False
6904290358692055298,No aplica,Andalucía,Almería,Viajero,14521.0,2003,3,Primavera,False
4246198651067277647,No aplica,Andalucía,Almería,Viajero,12691.0,2003,2,Invierno,False
-219091202726110416,No aplica,Andalucía,Almería,Viajero,9554.0,2003,1,Invierno,False
3723247710751553124,No aplica,Andalucía,Almería,Viajero,8375.0,2002,12,Invierno,False
-4399383014030769472,No aplica,Andalucía,Almería,Viajero,11752.0,2002,11,Otoño,False
-2845777295550958638,No aplica,Andalucía,Almería,Viajero,27366.0,2002,10,Otoño,False
100410841531637028,No aplica,Andalucía,Almería,Viajero,29331.0,2002,9,Otoño,False
591865079615731480,No aplica,Andalucía,Almería,Viajero,28323.0,2002,8,Verano,False
-2892907949276540483,No aplica,Andalucía,Almería,Viajero,28773.0,2002,7,Verano,False
651158203147929537,No aplica,Andalucía,Almería,Viajero,26544.0,2002,6,Verano,False
1006811438361791824,No aplica,Andalucía,Almería,Viajero,32333.0,2002,5,Primavera,False
-9101723487458727287,No aplica,Andalucía,Almería,Viajero,18573.0,2002,4,Primavera,False
-7901111726974915632,No aplica,Andalucía,Almería,Viajero,16306.0,2002,3,Primavera,False
-6036601991928922466,No aplica,Andalucía,Almería,Viajero,10239.0,2002,2,Invierno,False
-1030612973467503380,No aplica,Andalucía,Almería,Viajero,9064.0,2002,1,Invierno,False
-3341751102076458276,No aplica,Andalucía,Almería,Viajero,7993.0,2001,12,Invierno,False
-3340921878497461314,No aplica,Andalucía,Almería,Viajero,12848.0,2001,11,Otoño,False
-7970123792394347984,No aplica,Andalucía,Almería,Viajero,30606.0,2001,10,Otoño,False
7113649291281171557,No aplica,Andalucía,Almería,Viajero,31476.0,2001,9,Otoño,False
-6420807713814554728,No aplica,Andalucía,Almería,Viajero,30993.0,2001,8,Verano,False
3127301863025926393,No aplica,Andalucía,Almería,Viajero,27442.0,2001,7,Verano,False
5986085322178082505,No aplica,Andalucía,Almería,Viajero,31934.0,2001,6,Verano,False
-4205063402481516496,No aplica,Andalucía,Almería,Viajero,32491.0,2001,5,Primavera,False
-7066853470410698993,No aplica,Andalucía,Almería,Viajero,24422.0,2001,4,Primavera,False
3644808825102673932,No aplica,Andalucía,Almería,Viajero,17975.0,2001,3,Primavera,False
-8548889540419407121,No aplica,Andalucía,Almería,Viajero,12062.0,2001,2,Invierno,False
4869823773330690138,No aplica,Andalucía,Almería,Viajero,11059.0,2001,1,Invierno,False
5352011327195287983,No aplica,Andalucía,Almería,Viajero,7956.0,2000,12,Invierno,False
-1588348010863870717,No aplica,Andalucía,Almería,Viajero,12013.0,2000,11,Otoño,False
-7202770710957212679,No aplica,Andalucía,Almería,Viajero,26543.0,2000,10,Otoño,False
